Feature,Mean |SHAP|,Std SHAP,Correlation,Min Value,Max Value
temp,0.0001249988126801327,0.00012437224826997568,0.9024802731828551,-0.4029771810058615,-0.38528382690585955
winddir,0.00012417338439263403,0.00011990288989283804,0.9085773292413123,0.30561067134078035,0.5088165048889716
cloudcover,0.00012038207205478102,0.00012028572784402549,0.9220551476372759,0.4400545135462115,1.1063530223088909
windspeed,0.00011896384239662439,0.00011098759075850795,0.8507884124815838,0.3306554247909816,0.769439489114517
humidity,0.00011878869554493576,0.00011857468310809892,0.8864101593662966,0.16650586764803135,0.3416113973911821
dew,0.00011279596947133541,0.00010523325950716734,0.7875128786846097,-0.3595782634513025,-0.35396645758182643
pressure,0.00010364322224631906,0.00010356027447613167,0.8561714133200372,-0.042435529091399256,0.047565835697199264
